Feature ID,State,State Abbreviation,State FIPS Code,County,Locale,POINT_X,POINT_Y,Distance to Nearest School (meters),NCES School ID of Nearest School,Name of Nearest School,Name of School District,LEAID of School District,Electric Utility,Census Tract ID,Total population,Percent people of color,Percent low-income households,PM2.5 (μg/m3),Ozone concentration (ppb),PM2.5 percentile,Ozone percentile
3829,Maryland,MD,24,Allegany County,Urban,-78.82650886,39.59955168,196,240003000030,Center for Career & Technical Education,Allegany County Public Schools,2400030,THE POTOMAC EDISON COMPANY,24001001300,5644,55%,32%,6.8,55.1,16,8
3830,Maryland,MD,24,Allegany County,Urban,-78.80211468,39.61870383,,,,Allegany County Public Schools,2400030,THE POTOMAC EDISON COMPANY,24001001300,5644,55%,32%,6.8,55.1,16,8
3831,Maryland,MD,24,Frederick County,Suburban,-77.60507081,39.315367,105,240033001409,Brunswick Middle,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021775400,4035,26%,22%,7.7,59.6,38,36
3832,Maryland,MD,24,Frederick County,Suburban,-77.54353952,39.36001902,,,,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021752501,5604,19%,15%,7.8,59.7,39,37
3833,Maryland,MD,24,Frederick County,Suburban,-77.34094206,39.3264897,129,240033000616,Urbana High,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021752205,4334,66%,3%,7.8,62,40,56
3834,Maryland,MD,24,Frederick County,Suburban,-77.27541165,39.32226507,142,240033000392,Windsor Knolls Middle,Frederick County Public Schools,2400330,THE POTOMAC EDISON COMPANY,24021752101,3486,26%,5%,7.8,62.5,38,59
3835,Maryland,MD,24,Howard County,Suburban,-76.9880488,39.26193163,,,,Howard County Public Schools,2400420,BALTIMORE GAS & ELECTRIC CO,24027605104,6045,41%,5%,7.7,65.9,37,79
3836,Maryland,MD,24,Howard County,Suburban,-76.95552824,39.18304109,,,,Howard County Public Schools,2400420,BALTIMORE GAS & ELECTRIC CO,24027605103,5498,41%,1%,7.7,66.1,37,80
3837,Maryland,MD,24,Anne Arundel County,Suburban,-76.69933455,39.16157301,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003751200,4838,23%,11%,8.1,69.8,47,93
3838,Maryland,MD,24,Anne Arundel County,Suburban,-76.7306639,39.17896351,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003751200,4838,23%,11%,8.1,69.8,47,93
3839,Maryland,MD,24,Anne Arundel County,Suburban,-76.67773535,39.15527526,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003751400,4314,35%,16%,8,70.3,45,94
3840,Maryland,MD,24,Anne Arundel County,Suburban,-76.76688692,39.15253264,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003740106,3065,45%,8%,8,69.1,45,91
3841,Maryland,MD,24,Baltimore County,Suburban,-76.76412861,39.28322084,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005401503,6359,23%,10%,8.1,68.3,46,89
3842,Maryland,MD,24,Baltimore County,Suburban,-76.76666824,39.3040098,,,,Baltimore County Public Schools,2400120,BALTIMORE GAS & ELECTRIC CO,24005401504,7736,68%,24%,8.1,68.3,46,89
